mean_x,mean_y,mean_z,mean_mag,std_x,std_y,std_z,std_mag,var_x,var_y,var_z,var_mag,range_x,range_y,range_z,range_mag,max_x,max_y,max_z,max_mag,min_x,min_y,min_z,min_mag,q25_mag,q50_mag,q75_mag,cv_mag,rms_x,rms_y,rms_z,rms_mag,mean_jerk,std_jerk,max_jerk,min_jerk,sma,zcr_x,zcr_y,zcr_z,zcr_mag,energy_x,energy_y,energy_z,energy_mag,dominant_power,spectral_energy,power_tremor_band,power_low_freq,power_mid_freq,power_high_freq,spectral_entropy,spectral_centroid,spectral_spread,freeze_index,locomotor_power,freeze_power,cadence_spm,step_regularity,freeze_ratio,steps_10s,numSamples,label
-0.704428571,-1.835509217,-0.525928571,2.063450238,0.210029427,0.394103248,0.287575351,0.407697174,0.04411236,0.15531737,0.082699582,0.166216986,1.961,1.805,1.758,1.831379748,0.109,-1.16,0.637,3.169804568,-1.852,-2.965,-1.121,1.33842482,1.709531491,2.011189194,2.394613803,0.197580328,0.735072767,1.877341592,0.599416754,2.103341121,428.9063981,369.0014352,2584.729193,30.92329219,3.086875576,2,0,2,57,234.504076,1529.594571,155.936393,1920.03504,895.5374033,817640.802,1621.357511,11619.19681,3039.354796,940.072538,4.204472068,2.842523128,4.501383142,0.261580456,11619.19681,3039.354796,103.6866359,0.053699846,0.207343459,14,434,gait_slow
-0.703007194,-1.874179856,-0.595515588,2.120943791,0.321656537,0.481510382,0.295883128,0.534665782,0.103462928,0.231852248,0.087546825,0.285867498,2.016,1.93,1.25,2.085120423,0.387,-0.992,-0.008,3.217668877,-1.629,-2.922,-1.258,1.132548454,1.643864654,2.115034515,2.565209738,0.252088615,0.773098987,1.935045834,0.664970406,2.187297434,472.7499112,380.0226576,3141.878419,23.58495283,3.179134293,6,0,0,41,249.233412,1561.415793,184.391412,1995.040617,884.433561,807077.2782,1637.594922,19917.90725,3884.44445,861.8624981,4.409539911,2.926537173,4.583160775,0.19502272,19917.90725,3884.44445,115.1079137,0.094619707,0.163195826,16,417,gait_normal
-0.9617254,-2.638139588,-0.373816934,3.008625697,0.873205399,1.086702011,0.529386211,1.0937392,0.762487668,1.18092126,0.280249761,1.196265438,4.411,5.539,2.348,5.80747059,0.977,-0.727,0.844,6.74882812,-3.434,-6.266,-1.504,0.94135753,2.15063758,2.895649323,3.496318492,0.363534487,1.299000929,2.853191502,0.648065475,3.201264441,1119.355941,1047.375253,8307.206209,49.11720676,4.261196796,24,0,31,42,737.395292,3557.486663,183.535132,4478.417087,1314.769429,1842842.223,19064.37428,62089.52927,38579.52766,2276.708441,5.262152608,3.395371847,4.685681844,0.621353199,62089.52927,38579.52766,130.4347826,0.09545214,0.383231241,20,437,gait_fast
-0.979698448,1.985365854,-0.209829268,2.246755535,0.250211028,0.586374601,0.200852694,0.586844993,0.062605559,0.343835172,0.040341805,0.344387046,1.457,2.368,1.098,2.567072746,-0.406,3.18,0.305,3.519461322,-1.863,0.812,-0.793,0.952388576,1.900523509,2.303007599,2.68482129,0.261196639,1.011145196,2.070148001,0.290465362,2.322132098,351.7502603,235.9390692,1645.890716,31.6227766,3.200760532,0,0,38,25,461.108988,1932.766248,38.050927,2431.926163,1013.286746,1061774.362,524.1138258,33499.05582,921.0087168,307.6317193,3.938998967,1.951046855,3.810153916,0.027493572,33499.05582,921.0087168,93.12638581,0.149776954,0.026757902,18,451,gait_slow
-0.53105814,1.961109302,-0.460362791,2.110215501,0.225128932,0.593886768,0.260144036,0.598294518,0.050683036,0.352701493,0.06767492,0.35795633,2.434,3.203,1.958,3.143903959,0.637,4.105,0.52,4.164298981,-1.797,0.902,-1.438,1.020395022,1.584162207,2.14822173,2.551495414,0.283522947,0.576806539,2.04906105,0.528780501,2.19339139,352.0805489,423.7324483,3922.41077,14.36140662,2.964344186,7,0,4,31,143.063487,1805.420011,120.231792,2068.71529,907.3926654,856454.5113,889.6387858,29149.90854,2670.251146,632.565597,4.294523569,2.488031254,4.019648597,0.0916041,29149.90854,2670.251146,104.6511628,0.068526771,0.083916962,16,430,gait_normal
-0.55454102,2.369159645,0.00389357,2.49962254,0.493465576,0.66817984,0.364834807,0.703855451,0.243508275,0.446464298,0.133104437,0.495412497,3.59,3.832,2.519,3.971356587,1.453,5.055,1.273,5.222955964,-2.137,1.223,-1.246,1.251599377,1.993504184,2.418653551,2.875911621,0.281584695,0.74230992,2.461581143,0.364855583,2.596829863,848.4725378,665.6684047,4011.982833,36.14208074,3.255536585,40,0,86,49,248.511832,2732.781157,60.036938,3041.329927,1127.329765,1321254.754,1779.668089,42360.4856,5451.188104,1356.9588,4.784458418,3.363234281,5.167353759,0.128685685,42360.4856,5451.188104,113.0820399,0.097203074,0.114013748,16,451,gait_fast
-0.324383372,-2.024489607,-0.033023095,2.063826617,0.07838188,0.329603731,0.210694145,0.323523295,0.006143719,0.108638619,0.044392023,0.104667322,0.484,1.434,0.789,1.431434841,-0.141,-1.324,0.363,2.789634385,-0.625,-2.758,-0.426,1.358199544,1.866758956,2.082099902,2.292991278,0.15675895,0.33371888,2.051145239,0.213266376,2.089030308,189.6615451,154.3041244,993.0665889,21.65063509,2.534981524,0,0,25,53,48.22247,1821.71621,19.693943,1889.632623,893.6369253,808398.8717,1459.21569,7092.063224,2514.973885,89.17156957,3.438203257,1.825929552,3.604644384,0.354618086,7092.063224,2514.973885,103.926097,0.153735792,0.26178455,12,433,gait_slow
-0.420186404,-2.139361842,0.047098684,2.218080138,0.157206711,0.46736941,0.359944497,0.456588049,0.02471395,0.218434165,0.129560041,0.208472647,0.828,2.41,1.285,2.365908697,0.023,-1.004,0.551,3.45735636,-0.805,-3.414,-0.734,1.091447663,1.948037019,2.259118182,2.504176004,0.205848311,0.44863188,2.189818088,0.363012847,2.264586529,261.931665,248.8378429,2756.132934,21.36000936,2.888059211,2,0,20,40,91.779377,2186.658285,60.090917,2338.528579,1011.444543,1044694.351,793.3647026,18098.32673,2240.773199,300.4772101,3.99111886,2.271064955,4.366254513,0.12381107,18098.32673,2240.773199,111.8421053,0.069450972,0.110170716,16,456,gait_normal
-0.325128146,-3.038624714,-0.028665904,3.296197417,0.496314571,0.87022822,1.097154096,0.825969252,0.246328153,0.757297154,1.20374711,0.682225205,2.539,4.257,5.847,3.913611115,0.707,-1.184,2.277,5.720506796,-1.832,-5.441,-3.57,1.80689568,2.571105793,3.343045767,3.839089866,0.250582458,0.593326609,3.160781123,1.097528516,3.398108682,629.8719609,457.9077602,4522.586373,49.81214711,4.353759725,46,0,23,33,153.839935,4365.864803,526.396585,5046.101323,1440.438271,2140003.951,5399.172267,45365.53526,7536.865513,704.3783612,4.343412291,2.467433707,4.595912707,0.166136374,45365.53526,7536.865513,109.8398169,0.183951684,0.142467363,18,437,gait_fast
-0.204468677,-1.997236659,-0.463447796,2.07887315,0.14509019,0.345358094,0.231190757,0.342935183,0.021051163,0.119272213,0.053449166,0.11760454,0.734,1.578,1.398,1.61582332,0.125,-1.133,-0.008,2.792636389,-0.609,-2.711,-1.406,1.176813069,1.914394361,2.087614907,2.328882921,0.164962053,0.250716181,2.026876041,0.517912179,2.10696894,230.2396883,216.5360253,2763.452325,2.5,2.670916473,25,0,0,40,27.092058,1770.645615,115.608434,1913.346107,895.9943277,813729.001,630.7392424,9348.496251,1381.181988,107.4852613,3.633368973,1.917978357,3.963749129,0.14774376,9348.496251,1381.181988,97.44779582,0.261049316,0.128725387,12,431,gait_slow
